Location,Followers,Following,Stars,Contributions
"Shanghai, China",27,7,79,0
"Vancouver, BC",20,3,6,0
United Kingdom,15,10,10,121
"London, UK",56,0,5,0
Italy,142,15,15,690
Amsterdam,5600,7,83,1481
Peking University,367,0,5,1204
"Brooklyn, NY",482,11,74,81
"Fremont, CA",1800,5,97,586
New York City,270,1,297,265
Austria,47,11,38,4
San Francisco,457,37,785,13
Munich,906,0,27,1670
Toronto,610,5,20,1152
Hangzhou China,47,0,13,0
Seoul,68,14,21,215
"Gurgaon, India",1500,6,73,957
Russia,832,19,621,1232
Mumbai,159,0,10,1
Le Mans,57,10,75,2248
Netherlands,63,14,14,5
 Shenzhen,252,11,194,594
"Nanjing, China",624,48,642,65
Gothenburg,109,1,1,473
"Graz, Austria",143,0,42,57
"Montreal, Canada",25,0,63,46
Brazil,268,46,429,491
"Seattle, Washington, USA",382,6,20,2
Bangalore,138,15,2,33
Canada,255,265,903,4
"New Orleans, LA",174,4,40,23
"Brisbane, Australia",336,58,274,1224
"Austin, TX",58,28,236,1556
HeFei,52,42,141,10
New York,614,30,192,1172
"San Francisco, CA",36300,4,20,29
"London, UK",37,13,271,3
Toronto ON,413,24,65,0
"San Francisco, CA",36300,4,20,29
China,303,131,328,124
California,92,8,40,2236
"Daejeon, Republic of Korea",82,2,100,7
"Dallas, TX",111,21,50,290
Palo Alto,8500,43,59,1234
"Bangalore, India",86,94,494,81
"Atlanta, GA",5,2,13,0
"Columbia, MD",107,9,261,35
Seattle x Singapore,487,51,81,1549
"San Francisco, CA",117,48,182,64
"Hyderabad, India",43,34,118,9
The Shire,1700,19,147,20
"Beijing, China",7,11,4,226
New York City,3100,2,29,710
United States,228,36,42,872
Shanghai,29,18,49,8
California,105,4,241,87
San Francisco,67,4,5,147
"Grace Field, TPN",432,2,45,170
Los Angeles,633,0,1600,1156
